symbol,isin,shortName,longName,quoteType,address1,city,state,zip,country,website,industry,sector,marketCap,currency,enterpriseValue,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,longBusinessSummary
CHTR,US16119P1084,"Charter Communications, Inc.","Charter Communications, Inc.",EQUITY,400 Washington Blvd.,Stamford,CT,06902,United States,https://www.corporate.charter.com,Telecom Services,Communication Services,47390007296,USD,147959693312,602000000,4.217,21283999744,97564999680,0.336,0.385,54658998272,583.732,374.922,0.05356,0.34924,3448624896,14864000000,0.055,0.002,0.39337003,0.38939998,0.24428,USD,"Charter Communications, Inc. operates as a broadband connectivity and cable operator company serving residential and commercial customers in the United States. The company offers subscription-based internet, video, and mobile and voice services; a suite of broadband connectivity services, including fixed internet, WiFi, and mobile; Advanced WiFi services; Spectrum Security Shield; in-home WiFi, which provides customers with high performance wireless routers and managed WiFi services to enhance their fixed wireless internet experience; out-of-home WiFi; and Spectrum WiFi services. It also offers voice communications services using voice over internet protocol technology; and broadband communications solutions, such as internet access, data networking, fiber connectivity, video entertainment, and business telephone services to cellular towers and office buildings for business and carrier organizations. In addition, the company provides mobile services; video programming, static IP and business WiFi, voice, and e-mail and security services; sells local advertising across various platforms for networks, such as TBS, CNN, and ESPN; sells advertising inventory to local sports and news channels; and offers Audience App to create data-driven linear TV campaigns for local advertisers. Further, the company offers communications products and managed service solutions; data connectivity services to mobile and wireline carriers on a wholesale basis; and owns and operates regional sports networks and news channels. It serves approximately 32 million customers in 41 states. Charter Communications, Inc.was founded in 1993 and is headquartered in Stamford, Connecticut."
KMI,US49456B1017,"Kinder Morgan, Inc.","Kinder Morgan, Inc.",EQUITY,1001 Louisiana Street,Houston,TX,77002,United States,https://www.kindermorgan.com,Oil & Gas Midstream,Energy,48905801728,USD,81616093184,122000000,0.055,6462000128,32020000768,0.237,0.368,15358999552,101.029,6.911,0.037750002,0.08012,-299000000,6483999744,-0.009,0.02,0.49671,0.42073002,0.278,USD,"Kinder Morgan, Inc. operates as an energy infrastructure company primarily in North America. The company operates through Natural Gas Pipelines, Products Pipelines, Terminals, and CO2 segments. The Natural Gas Pipelines segment owns and operates interstate and intrastate natural gas pipeline, and storage systems; natural gas gathering systems and natural gas processing and treating facilities; natural gas liquids fractionation facilities and transportation systems; and liquefied natural gas gasification, liquefaction, and storage facilities. The Products Pipelines segment owns and operates refined petroleum products, and crude oil and condensate pipelines; and associated product terminals and petroleum pipeline transmix facilities. The Terminals segment owns and/or operates liquids and bulk terminals that stores and handles various commodities, including gasoline, diesel fuel, renewable fuel and feedstocks, chemicals, ethanol, metals, and petroleum coke; and owns tankers. The CO2 segment produces, transports, and markets CO2 to recovery and production crude oil from mature oil fields; owns interests in/or operates oil fields and gasoline processing plants; and operates a crude oil pipeline system in West Texas, as well as owns and operates RNG and LNG facilities. It owns and operates approximately 82,000 miles of pipelines and 139 terminals. The company was formerly known as Kinder Morgan Holdco LLC and changed its name to Kinder Morgan, Inc. in February 2011. Kinder Morgan, Inc. was founded in 1997 and is headquartered in Houston, Texas."
D,US25746U1097,"Dominion Energy, Inc.","Dominion Energy, Inc.",EQUITY,120 Tredegar Street,Richmond,VA,23219,United States,https://www.dominionenergy.com,Utilities - Regulated Electric,Utilities,48658403328,USD,92134703104,139000000,0.166,7008999936,42325999616,0.229,0.934,14462000128,156.34,17.266,0.024549998,0.07542,-7802500096,6216000000,-0.036,0.101,0.48049998,0.48465002,0.24986,USD,"Dominion Energy, Inc. produces and distributes energy in the United States. It operates through three operating segments: Dominion Energy Virginia, Dominion Energy South Carolina, and Contracted Energy. The Dominion Energy Virginia segment generates, transmits, and distributes regulated electricity to approximately 2.8 million residential, commercial, industrial, and governmental customers in Virginia and North Carolina. The Dominion Energy South Carolina segment generates, transmits, and distributes electricity to approximately 0.8 million customers in the central, southern, and southwestern portions of South Carolina; and distributes natural gas to approximately 0.4 million residential, commercial, and industrial customers in South Carolina. The Contracted Energy segment is involved in the nonregulated long-term contracted renewable electric generation and renewable natural gas facility. As of December 31, 2023, the company's portfolio of assets included approximately 29.5 gigawatt of electric generating capacity; 10,600 miles of electric transmission lines; 79,300 miles of electric distribution lines; and 94,800 miles of gas distribution mains and related service facilities. The company was formerly known as Dominion Resources, Inc. Dominion Energy, Inc. was incorporated in 1983 and is headquartered in Richmond, Virginia."
PAYX,US7043261079,"Paychex, Inc.","Paychex, Inc.",EQUITY,911 Panorama Trail South,Rochester,NY,14625-2396,United States,https://www.paychex.com,Software - Application,Technology,48356519936,USD,47373213696,1502800000,4.173,2350599936,885500032,0.589,1.366,5278300160,23.297,14.65,0.12985,0.46348998,1323699968,1897699968,0.082,0.053,0.71974,0.44533002,0.37202,USD,"Paychex, Inc., together with its subsidiaries, provides integrated human capital management solutions (HCM) for payroll, benefits, human resources (HR), and insurance services for small to medium-sized businesses in the United States, Europe, and India. It offers payroll processing services; payroll tax administration services; employee payment services; and regulatory compliance services, such as new-hire reporting and garnishment processing. The company also provides HR solutions, including integrated HCM technology solutions and HR advisory services through both virtual and on-site availability of a professionally trained HR representative, as well as HR support to non-payroll clients through its HR Partner Plus solution; and retirement services administration, such as plan implementation, ongoing compliance with government regulations, employee and employer reporting, participant and employer online access, electronic funds transfer, and other administrative services. In addition, it offers cloud-based HR administration software products for employee benefits management and administration, time and attendance, digital communication solutions, recruiting, and onboarding solutions; plan administration outsourcing and state unemployment insurance services; various business services to small to medium-sized businesses comprising payroll funding and outsourcing services, which include payroll processing, invoicing, and tax preparation; and payment processing services, financial fitness programs, and a small-business loan resource center. Further, the company provides insurance services for property and casualty coverage, such as workers' compensation, business-owner policies, cyber security protection, and commercial auto, as well as health and benefits coverage, including health, dental, vision, and life. It markets and sells its services primarily through its direct sales force. The company was founded in 1971 and is headquartered in Rochester, New York."
AIG,US0268747849,"American International Group, I","American International Group, Inc.",EQUITY,1271 Avenue of the Americas,New York,NY,10020,United States,https://www.aig.com,Insurance - Diversified,Financial Services,47765065728,USD,43526856704,13941000192,21.649,9004000256,9939999744,0.252,0.68,45924999168,22.35,66.622,0.00898,0.08733,16678875136,6581000192,N/A,-0.108,0.28592,0.19606,0.14224,USD,"American International Group, Inc. offers insurance products for commercial, institutional, and individual customers in North America and internationally. It operates through three segments: General Insurance, Life and Retirement, and Other Operations. The General Insurance segment provides commercial and industrial property insurance, including business interruption and package insurance that cover exposure to made and natural disasters; general liability, environmental, commercial automobile liability, workers' compensation, excess casualty, and crisis management insurance products; and professional liability insurance. This segment offers marine, energy-related property insurance, aviation, political risk, trade credit, trade finance, and portfolio solutions, as well as operates reinsurance business; voluntary and sponsor-paid personal accident, and supplemental health products; and personal auto and personal property insurance. Its Life and Retirement segment offers individual retirement products, including variable, fixed index, and fixed annuities, as well as retail mutual funds; group retirement products comprising record-keeping, plan administrative and compliance services, financial planning, and advisory solutions; life insurance, including term and universal life insurance; and institutional markets products, which includes wrap products, structured settlement, pension risk transfer annuities, corporate and bank-owned life insurance, high net worth, and guaranteed investment contract products. It distributes its products through a network of brokers, agents, advisors, banks, and other distributors. The company was founded in 1919 and is headquartered in New York, New York."
FIS,US31620M1062,Fidelity National Information S,"Fidelity National Information Services, Inc.",EQUITY,347 Riverside Avenue,Jacksonville,FL,32202,United States,https://www.fisglobal.com,Information Technology Services,Technology,45712977920,USD,54976270336,2131000064,3.906,3548000000,11242999808,0.901,1.348,9957000192,65.976,17.242,0.02536,0.03136,2404250112,3023000064,N/A,0.027,0.38234,0.35633,0.22137,USD,"Fidelity National Information Services, Inc. engages in the provision of financial services technology solutions for financial institutions, businesses, and developers worldwide. It operates through Banking Solutions, Capital Market Solutions, and Corporate and Other segments. The company provides core processing and ancillary applications; mobile and online banking; fraud, risk management, and compliance; card and retail payment; electronic funds transfer and network; wealth and retirement; and item processing and output solutions. It also offers trading and asset, lending, leveraged and syndicated loan markets, and treasury and risk solutions. The company was founded in 1968 and is headquartered in Jacksonville, Florida."
TEL,CH0102993182,TE Connectivity Ltd. New Switze,TE Connectivity Ltd.,EQUITY,MUehlenstrasse 26,Schaffhausen,N/A,8200,Switzerland,https://www.te.com,Electronic Components,Technology,45166923776,USD,47892393984,1468999936,4.834,3688999936,4224999936,0.852,1.507,15811999744,33.124,51.172,0.081140004,0.28673,2201125120,3572999936,0.114,-0.005,0.33886,0.2333,0.18874,USD,"TE Connectivity Ltd., together with its subsidiaries, manufactures and sells connectivity and sensor solutions in Europe, the Middle East, Africa, the AsiaPacific, and the Americas. The company operates through three segments: Transportation Solutions, Industrial Solutions, and Communications Solutions. The Transportation Solutions segment provides terminals and connector systems and components, sensors, relays, antennas, and application tooling products for use in the automotive, commercial transportation, and sensor markets. The Industrial Solutions segment offers terminals and connector systems and components; and interventional medical components, relays, heat shrink tubing, and wires and cables for industrial equipment, aerospace, defense, marine, medical, and energy markets. The Communications Solutions segment supplies electronic components, such as terminals and connector systems and components, relays, heat shrink tubing, and antennas for the data and devices, and appliances markets. The company sells its products to approximately 140 countries primarily through direct sales to manufacturers, as well as through third-party distributors. The company was formerly known as Tyco Electronics Ltd. and changed its name to TE Connectivity Ltd. in March 2011. TE Connectivity Ltd. was founded in 1941 and is based in Schaffhausen, Switzerland."
STZ,US21036P1084,"Constellation Brands, Inc.","Constellation Brands, Inc.",EQUITY,Building 100,Victor,NY,14564,United States,https://www.cbrands.com,Beverages - Brewers,Consumer Defensive,46353764352,USD,57328721920,73800000,0.405,3786700032,11882300416,0.31,1.226,10108699648,112.395,55.184,0.08243,0.2586,793637504,2805100032,5.459,0.058,0.51119,0.3746,0.35446,USD,"Constellation Brands, Inc., together with its subsidiaries, produces, imports, markets, and sells beer, wine, and spirits in the United States, Canada, Mexico, New Zealand, and Italy. The company provides beer primarily under the Corona Extra, Corona Familiar, Corona Hard Seltzer, Corona Light, Corona Non-Alcoholic, Corona Premier, Corona Refresca, Modelo Especial, Modelo Chelada, Modelo Negra, Modelo Oro, Victoria, Vicky Chamoy, and Pacifico brands. It also offers wine under the Cook's California Champagne, Kim Crawford, Meiomi, Mount Veeder, Ruffino, SIMI, My Favorite Neighbor, Robert Mondavi Winery, Schrader, and The Prisoner Wine Company brands; and spirits under the Casa Noble, Copper & Kings, High West, Mi CAMPO, Nelson's Green Brier, and SVEDKA brands. The company provides its products to wholesale distributors, retailers, on-premise locations, and state alcohol beverage control agencies. Constellation Brands, Inc. was founded in 1945 and is headquartered in Victor, New York."
AMP,US03076C1062,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",EQUITY,1099 Ameriprise Financial Center,Minneapolis,MN,55474,United States,https://www.ameriprise.com,Asset Management,Financial Services,45400494080,USD,41484677120,7735000064,78.777,N/A,3992999936,2.145,2.996,16961000448,79.972,164.271,0.0216,0.67629,3128124928,6232000000,-0.023,0.096,0.5834,N/A,0.36270002,USD,"Ameriprise Financial, Inc., together with its subsidiaries, provides various financial products and services to individual and institutional clients in the United States and internationally. It operates through four segments: Advice & Wealth Management, Asset Management, Retirement & Protection Solutions, and Corporate & Other. The Advice & Wealth Management segment provides financial planning and advice; brokerage products and services for retail and institutional clients; discretionary and non-discretionary investment advisory accounts; mutual funds; insurance and annuities products; cash management and banking products; and face-amount certificates. The Asset Management segment offers investment management, advice, and products to retail, high net worth, and institutional clients through third-party financial institutions, advisor networks, direct retail, and its institutional sales force under the Columbia Threadneedle Investments brand name. This segment products include U.S. mutual funds and their non-U.S. equivalents, exchange-traded funds, variable product funds underlying insurance, and annuity separate accounts; and institutional asset management products, such as traditional asset classes, separately managed accounts, individually managed accounts, collateralized loan obligations, hedge funds, collective funds, and property and infrastructure funds. The Retirement & Protection Solutions segment provides variable annuity products, as well as life and disability income insurance products to retail clients. The company was formerly known as American Express Financial Corporation and changed its name to Ameriprise Financial, Inc. in September 2005. Ameriprise Financial, Inc. was founded in 1894 and is headquartered in Minneapolis, Minnesota."
VLO,US91913Y1001,Valero Energy Corporation,Valero Energy Corporation,EQUITY,One Valero Way,San Antonio,TX,78249,United States,https://www.valero.com,Oil & Gas Refining & Marketing,Energy,43036647424,USD,51380359168,5246000128,16.374,10814999552,10741000192,0.966,1.48,134329999360,38.021,400.985,0.08099,0.21823,6990249984,8865000448,-0.499,-0.001,0.07875,0.08051,0.03769,USD,"Valero Energy Corporation manufactures, markets, and sells petroleum-based and low-carbon liquid transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, Latin America, Mexico, Peru, and internationally. It operates through three segments: Refining, Renewable Diesel, and Ethanol. The company produces California Reformulated Gasoline Blendstock for Oxygenate Blending and Conventional Blendstock for Oxygenate Blending gasolines, CARB diesel, diesel, jet fuel, heating oil, and asphalt; feedstocks; aromatics; sulfur and residual fuel oil; intermediate oils; and sulfur, sweet, and sour crude oils. It sells its refined products through wholesale rack and bulk markets; and through outlets under the Valero, Beacon, Diamond Shamrock, Shamrock, Ultramar, and Texaco brands. The company owns and operates renewable diesel and ethanol plants, as well as produces renewable diesel and naphtha under the Diamond Green Diesel brand name. In addition, it offers ethanol and various co-products, including dry distiller grains, syrup, and inedible distillers corn oil to animal feed customers. The company was formerly known as Valero Refining and Marketing Company and changed its name to Valero Energy Corporation in August 1997. Valero Energy Corporation was founded in 1980 and is headquartered in San Antonio, Texas."
MPWR,US6098391054,"Monolithic Power Systems, Inc.","Monolithic Power Systems, Inc.",EQUITY,5808 Lake Washington Boulevard NE,Kirkland,WA,98033,United States,https://www.monolithicpower.com,Semiconductors,Technology,43472646144,USD,43127169024,1307245056,26.814,494728000,15491000,4.964,6.767,1894194944,0.705,39.25,0.117469996,0.20371,453186752,718246976,0.005,0.15,0.5531,0.26118,0.22965999,USD,"Monolithic Power Systems, Inc. engages in the design, development, marketing, and sale of semiconductor-based power electronics solutions for the storage and computing, automotive, enterprise data, consumer, communications, and industrial markets. The company provides direct current (DC) to DC integrated circuits (ICs) that are used to convert and control voltages of various electronic systems, such as cloud-based CPU servers, server artificial intelligence applications, storage applications, commercial notebooks, digital cockpit, power sources, home appliances, 4G and 5G infrastructure, and satellite communications applications. It offers lighting control ICs for backlighting that are used in systems, which provide the light source for LCD panels in computers and notebooks, monitors, car navigation systems, and televisions, as well as for general illumination products. The company sells its products through third-party distributors, value-added resellers, directly to original equipment manufacturers, original design manufacturers, electronic manufacturing service providers, and other end customers. It serves China, Taiwan, South Korea, Europe, Japan, Southeast Asia, the United States, and internationally. Monolithic Power Systems, Inc. was incorporated in 1997 and is headquartered in Kirkland, Washington."
IQV,US46266C1053,"IQVIA Holdings, Inc.",IQVIA Holdings Inc.,EQUITY,2400 Ellis Road,Durham,NC,27703,United States,https://www.iqvia.com,Diagnostics & Research,Healthcare,44023173120,USD,56053477376,1678000000,9.205,2779000064,13592999936,0.751,0.849,15155000320,202.458,83.155,0.05025,0.22837,1639624960,2440000000,0.239,0.023,0.35097,0.18337,0.14368,USD,"IQVIA Holdings Inc. engages in the provision of advanced analytics, technology solutions, and clinical research services to the life sciences industry in the Americas, Europe, Africa, and the Asia-Pacific. It operates through three segments: Technology & Analytics Solutions, Research & Development Solutions, and Contract Sales & Medical Solutions. The Technology & Analytics Solutions segment offers a range of cloud-based applications and related implementation services; real world solutions that enable life sciences and provider customers to generate and disseminate evidence, which informs health care decision making and improves patients' outcomes; and strategic and implementation consulting services, such as advanced analytics and commercial processes outsourcing services. This segment also provides country level performance metrics related to sales of pharmaceutical products, prescribing trends, medical treatment, and promotional activity across various channels, including retail, hospital, and mail order; and measurement of sales or prescribing activity at the regional, zip code, and individual prescriber level. The Research & Development Solutions segment offers project management and clinical monitoring; clinical trial support; strategic planning and design services; and patient and site centric solutions, as well as central laboratory, genomic, bioanalytical, ADME, discovery, and vaccine and biomarker laboratory services. The Contract Sales & Medical Solutions segment provides health care provider and patient engagement services, and scientific strategy and medical affairs services. It serves pharmaceutical, biotechnology, device and diagnostic, and consumer health companies. The company has a collaboration with argenx SE. The company was formerly known as Quintiles IMS Holdings, Inc. and changed its name to IQVIA Holdings Inc. in November 2017. The company is headquartered in Durham, North Carolina."
F,US3453708600,Ford Motor Company,Ford Motor Company,EQUITY,One American Road,Dearborn,MI,48126,United States,https://www.ford.com,Auto Manufacturers,Consumer Cyclical,42793566208,USD,169737715712,26435999744,6.65,10570000384,152894996480,0.956,1.166,180347994112,350.717,45.189,0.00993,0.08754,-1228125056,13976000512,-0.022,0.063,0.08038,0.05861,0.04309,USD,"Ford Motor Company develops, delivers, and services a range of Ford trucks, commercial cars and vans, sport utility vehicles, and Lincoln luxury vehicles worldwide. It operates through Ford Blue, Ford Model e, and Ford Pro; Ford Next; and Ford Credit segments. The company sells Ford and Lincoln vehicles, service parts, and accessories through distributors and dealers, as well as through dealerships to commercial fleet customers, daily rental car companies, and governments. It also engages in vehicle-related financing and leasing activities to and through automotive dealers. In addition, the company provides retail installment sale contracts for new and used vehicles; and direct financing leases for new vehicles to retail and commercial customers, such as leasing companies, government entities, daily rental companies, and fleet customers. Further, it offers wholesale loans to dealers to finance the purchase of vehicle inventory; and loans to dealers to finance working capital and enhance dealership facilities, purchase dealership real estate, and other dealer vehicle programs. The company was incorporated in 1903 and is based in Dearborn, Michigan."
PRU,US7443201022,"Prudential Financial, Inc.","Prudential Financial, Inc.",EQUITY,751 Broad Street,Newark,NJ,07102,United States,https://www.prudential.com,Insurance - Life,Financial Services,43205926912,USD,54973521920,33602000896,94.123,3942333440,43157999616,0.66,0.749,61828001792,143.358,171.697,0.0032,0.09594,17848000512,9018000384,1.377,0.103,0.27352,0.06376,0.09507,USD,"Prudential Financial, Inc., together with its subsidiaries, provides insurance, investment management, and other financial products and services in the United States and internationally. It operates through PGIM, Retirement Strategies, Group Insurance, Individual Life, and International Businesses segments. The PGIM segment offers investment management services and solutions related to public fixed income, public equity, real estate debt and equity, private credit and other alternatives, and multi-asset class strategies to institutional and retail clients, as well as its general account. The Retirement Strategies segment provides a range of retirement investment, and income products and services to retirement plan sponsors in the public, private, and not-for-profit sectors; develops and distributes individual variable and fixed annuity products. The Group Insurance segment offers various group life, and long-term and short-term group disability, as well as group corporate-, bank-, and trust-owned life insurance in the United States primarily for institutional clients for use in connection with employee and membership benefits plans; sells accidental death and dismemberment, and other supplemental health solutions; and plan administration services in connection with its insurance coverages. The Individual Life segment develops and distributes variable life, universal life, and term life insurance products. The International Businesses segment develops and distributes life insurance, retirement products, investment products, and certain accident and health products; and advisory services. The company provides its products and services to individual and institutional customers through its proprietary and third-party distribution networks. Prudential Financial, Inc. was founded in 1875 and is headquartered in Newark, New Jersey."
MSCI,US55354G1004,MSCI Inc.,MSCI Inc.,EQUITY,7 World Trade Center,New York,NY,10007,United States,https://www.msci.com,Financial Data & Stock Exchanges,Financial Services,43748147200,USD,47585349632,447518016,5.69,1562630016,4664479744,0.841,0.955,2703459072,N/A,34.167,0.17762,N/A,1009372096,1329469056,0.091,0.14,0.82079005,0.57800996,0.5443,USD,"MSCI Inc., together with its subsidiaries, provides critical decision support tools and solutions for the investment community to manage investment processes worldwide. The Index segment provides indexes for use in various areas of the investment process, including indexed financial product, such as ETFs, mutual funds, annuities, futures, options, structured products, and over-the-counter derivatives; performance benchmarking; portfolio construction and rebalancing; and asset allocation, as well as licenses GICS and GICS Direct. The Analytics segment offers risk management, performance attribution and portfolio management content, application, an integrated view of risk and return service, and an analysis of market, credit, liquidity, counterparty, and climate risk across asset classes; managed services, including consolidation of client portfolio data, review and reconciliation of input data and results, and customized reporting; and HedgePlatform to measure, evaluate, and monitor the risk of hedge fund investments. The ESG and Climate segment provides products and services that help institutional investors understand how ESG impacts the long-term risk and return of their portfolio and individual security-level investments; and data, ratings, research, and tools to help investors navigate increasing regulation. The All Other  Private Assets segment includes real estate and infrastructure data, benchmarks, return-analytics, climate assessments and market insights; business intelligence to real estate owners, managers, developers, and brokers; and offers investment decision support tools for private capital. The Private Capital Solutions segment offers tools to help private asset investors across mission-critical workflows, such as sourcing terms and conditions, evaluating operating performance, managing risk and other activities supporting private capital investing. MSCI Inc. was incorporated in 1998 and is headquartered in New York, New York."
MCHP,US5950171042,Microchip Technology Incorporat,Microchip Technology Incorporated,EQUITY,2355 West Chandler Boulevard,Chandler,AZ,85224-6199,United States,https://www.microchip.com,Semiconductors,Technology,41262600192,USD,47204057088,315100000,0.587,2720900096,6202899968,0.928,1.939,6587100160,96.83,12.201,0.07251,0.20696,1935387520,2276600064,-0.802,-0.458,0.63369,0.41306,0.17860001,USD,"Microchip Technology Incorporated engages in the development, manufacture, and sale of smart, connected, and secure embedded control solutions in the Americas, Europe, and Asia. The company offers general purpose 8-bit, 16-bit, and 32-bit mixed-signal microcontrollers; 32-bit embedded mixed-signal microprocessors; and specialized microcontrollers for automotive, industrial, computing, communications, lighting, power supplies, motor control, human machine interface, security, wired connectivity, and wireless connectivity applications. It also provides analog, interface, mixed signal, and timing products comprising power management, linear, mixed-signal, high-voltage, thermal management, discrete diodes, and metal oxide semiconductor field effect transistors (MOSFETS), radio frequency (RF), drivers, safety, security, timing, USB, Ethernet, wireless, and other interface products; field-programmable gate array (FPGA) products; and application development tools that enable system designers to program microcontroller, FPGA, and microprocessor products for specific applications. In addition, the company offers serial electrically erasable programmable read-only memory, serial flash memories, parallel flash memories, serial static random access memories, and serial electrically erasable random access memories for the production of very small footprint devices; and licenses its SuperFlash embedded flash and non-volatile memory technologies to foundries, integrated device manufacturers, and design partners for use in the manufacture of microcontroller products, gate array, RF, analog, and neuromorphic compute products that require embedded non-volatile memory, as well as provides engineering services. Further, it offers wafer foundry and assembly, and test subcontracting manufacturing services; and timing systems products, application specific integrated circuits, and aerospace products. The company was incorporated in 1989 and is headquartered in Chandler, Arizona."
IDXX,US45168D1046,"IDEXX Laboratories, Inc.","IDEXX Laboratories, Inc.",EQUITY,One IDEXX Drive,Westbrook,ME,04092,United States,https://www.idexx.com,Diagnostics & Research,Healthcare,41552957440,USD,42373976064,401590016,4.879,1265662976,1067875008,0.904,1.369,3784801024,67.576,45.612,0.22767,0.63246,816008256,969180992,-0.086,0.064,0.60409,0.33441,0.32414,USD,"IDEXX Laboratories, Inc. develops, manufactures, and distributes products primarily for the companion animal veterinary, livestock and poultry, dairy, and water testing markets in Africa, the Asia Pacific, Canada, Europe, Latin America, and internationally. The company operates through three segments: Companion Animal Group; Water Quality Products; and Livestock, Poultry and Dairy. It also provides point-of-care veterinary diagnostic products, including instruments, consumables, and rapid assay test kits; veterinary reference laboratory diagnostic and consulting services; practice management and diagnostic imaging systems and services for veterinarians; and health monitoring, biological materials testing, and laboratory diagnostic instruments, and services for biomedical research community. In addition, the company offers diagnostic and health-monitoring products for livestock, poultry, and dairy; products that test water for various microbiological contaminants; point-of-care electrolytes and blood gas analyzers; in-clinic chemistry, blood and urine chemistry, hematology, immunoassay, urinalysis, and coagulation analyzers; and SNAP rapid assays test kits. Further, it provides Colilert, Colilert-18, and Colisure tests, which detect the presence of total coliforms and E. coli in water; Enterolert, Pseudalert, Filta-Max and Filta-Max xpress, Legiolert, and Quanti-Tray products; and veterinary software and services for independent veterinary clinics and corporate groups. Additionally, the company offers human medical point-of-care products and laboratory diagnostics services. The company markets its products through marketing, customer service, sales, and technical service groups, as well as through independent distributors and other resellers. IDEXX Laboratories, Inc. was incorporated in 1983 and is headquartered in Westbrook, Maine."
NDAQ,US6311031081,"Nasdaq, Inc.","Nasdaq, Inc.",EQUITY,151 West 42nd Street,New York,NY,10036,United States,https://www.nasdaq.com,Financial Data & Stock Exchanges,Financial Services,42892840960,USD,52642607104,423000000,0.734,2401999872,10268999680,0.178,0.938,6567000064,94.142,11.99,0.04262,0.11017,1464875008,1707000064,-0.296,0.251,0.65997005,0.36576998,0.27958,USD,"Nasdaq, Inc. operates as a technology company that serves capital markets and other industries worldwide. It operates in three segments: Capital Access Platforms, Financial Technology, and Market Services. The Capital Access Platforms segment sells and distributes historical and real-time market data; and develops and licenses Nasdaq-branded indices and financial products. This segment also offers investor relations intelligence, governance solutions, and ESG solutions; and insights and workflow solutions, as well as operates listing platforms. The Financial Technology segment offers Verafin, a cloud-based platform to detect, investigate, and report money laundering and financial frauds; surveillance solutions, including a SaaS platform to assist in complying with market rules, regulations, and internal market surveillance policies; AxiomSL, a risk data management and regulatory reporting solution; and Calypso, a front-to-back trading technology solution for the financial market. This segment also handles assets, comprising cash equities, equity derivatives, currencies, various interest-bearing securities, commodities, energy products, and digital currencies; and trade management and colocation services. The Market Platforms segment offers equity derivative trading and clearing, cash equity trading, fixed income and commodities trading and clearing, and currency trading services. This segment operates various exchanges and other marketplace facilities across various asset classes which includes derivatives, commodities, cash equity, debt, structured products, and exchange traded products; and provides clearing, settlement, and central depository services. The company was formerly known as The NASDAQ OMX Group, Inc. and changed its name to Nasdaq, Inc. in September 2015. Nasdaq, Inc. was founded in 1971 and is headquartered in New York, New York."
PWR,US74762E1029,"Quanta Services, Inc.","Quanta Services, Inc.",EQUITY,2727 North Loop West,Houston,TX,77008,United States,https://www.quantaservices.com,Engineering & Construction,Industrials,43261984768,USD,46169763840,518140000,3.517,1792580992,3817707008,1.162,1.296,22030974976,58.01,151.024,0.046880003,0.13081001,1523643520,2039396992,0.125,0.108,0.13956,0.08137,0.053579997,USD,"Quanta Services, Inc. provides infrastructure solutions for the electric and gas utility, renewable energy, communications, and pipeline and energy industries in the United States, Canada, Australia, and internationally. The company's Electric Power Infrastructure Solutions segment engages in the design, procurement, construction, upgrade, repair, and maintenance of electric power transmission and distribution infrastructure and substation facilities; installation, maintenance, and upgrade of electric power infrastructure projects; installation of smart grid technologies on electric power networks; and design, installation, maintenance, and repair of commercial and industrial wirings. This segment also offers aviation services; emergency restoration services; and other engineering and technical services; design and construction solutions to wireline and wireless communications, cable multi-system operators, and other customers; and training for electric workers, as well as training for the gas distribution and communications industries. The company's Renewable Energy Infrastructure Solutions segment is involved in engineering, procurement, construction, repair, and maintenance of wind, solar, and hydropower generation facilities, as well as battery storage facilities; and provision of engineering and construction services for substations and switchyards, transmission, and other electrical infrastructures. The company's Underground Utility and Infrastructure Solutions segment offers design, engineering, procurement, construction, upgrade, repair, and maintenance services for natural gas systems for gas utility customers; fabrication services for pipeline support systems and structures and facilities; and engineering and construction services for pipeline and storage systems, and compressor and pump stations. The company was formerly known as Fabal Construction, Inc. and changed its name to Quanta Services, Inc. in November 1997. The company was incorporated in 1997 and is headquartered in Houston, Texas."
